"VideoAnalysis: Time (s)" ;"VideoAnalysis: X (cm)" ;"VideoAnalysis: Y (cm)" ;"VideoAnalysis: X Velocity (cm/s)" ;"VideoAnalysis: Y Velocity (cm/s)"
0                         ;0,0290920886104         ;8,99168410837           ;-0,0357678845787                   ;-0,266839076837
0,4                       ;-0,000809828882563      ;8,88433471153           ;-0,00168137090727                  ;-0,260213329772
0,7                       ;0,0426684669754         ;8,79124898325           ;-0,011515014482                    ;-0,224648079943
1,4                       ;-0,0116935216345        ;8,67914503022           ;-0,0205078429365                   ;-0,226309947009
1,7                       ;0,0120792592917         ;8,55684467464           ;-0,0114500749321                   ;-0,216278347085
2,567                     ;-0,013068102016         ;8,42503520668           ;-0,0181581294851                   ;-0,211518025123
3,133                     ;-0,0334609071384        ;8,26876566761           ;-0,00277084262688                  ;-0,22462023652
3,833                     ;-0,00968812621221       ;8,14646531203           ;0,0023545309166                    ;-0,244980231877
4,533                     ;-0,0158172627789        ;7,9168155596            ;-0,0061650733279                   ;-0,255319540614
5,4                       ;-0,0314555117161        ;7,73608594941           ;-0,00236781363293                  ;-0,253797397722
5,833                     ;-0,0321428019069        ;7,60903103764           ;0,0220682776361                    ;-0,285258602579
6,4                       ;0,00113909138986        ;7,43781053983           ;0,0358153654651                    ;-0,303139607522
6,7                       ;0,0201573161308         ;7,33997025536           ;0,00137736160364                   ;-0,31573797378
7,133                     ;-0,00499004517685       ;7,2081607874            ;-0,0214402689936                   ;-0,334346792228
7,533                     ;-0,00567733536759       ;7,08110587563           ;-0,0284608480612                   ;-0,391404991327
7,833                     ;-0,02607014049          ;6,92483633656           ;-0,0277086939104                   ;-0,44002629058
8,1                       ;-0,0267574306808        ;6,79778142479           ;-0,00916139875399                  ;-0,384306781539
8,533                     ;-0,0274447208715        ;6,67072651302           ;-0,003308144065                    ;-0,373879874571
8,833                     ;-0,0281320110622        ;6,54367160125           ;0,000966031369992                  ;-0,411206499236
9,1                       ;-0,0335738574382        ;6,4410767606            ;0,0282692419073                    ;-0,489269558709
9,267                     ;-0,00980107651199       ;6,31877640501           ;0,0349784040103                    ;-0,530784961611
9,533                     ;-0,0104883667027        ;6,19172149324           ;0,0115559708057                    ;-0,496656206981
9,833                     ;-0,0111756568935        ;6,06466658147           ;0,0136048532421                    ;-0,535184567211
10,1                      ;-0,0023538347137        ;5,88869152747           ;0,0104972992299                    ;-0,591814389294
10,267                    ;-0,00779568108968       ;5,78609668682           ;0,016093351523                     ;-0,575697583065
10,533                    ;0,0159770998365         ;5,66379633123           ;-0,0206442967971                   ;-0,653263968129
10,7                      ;-0,0288757764029        ;5,50277223597           ;-0,00817773888811                  ;-0,727385155718
10,967                    ;0,00440611689385        ;5,33155173816           ;0,0261904274568                    ;-0,740468328398
11,267                    ;-0,00172301967286       ;5,10190198573           ;0,0259812479478                    ;-0,811017495337
11,4                      ;0,0220497612534         ;4,97960163015           ;-0,00731605206868                  ;-0,893591151912
11,667                    ;-0,0085394464303        ;4,74519732154           ;-0,0287689323292                   ;-0,988411343924
11,833                    ;0,00503693193469        ;4,54476219642           ;-0,0314167938299                   ;-1,05453989602
12,1                      ;-0,0207977195637        ;4,28589781669           ;-0,0335054168841                   ;-1,11583320043
12,267                    ;-0,00722134119872       ;4,08546269157           ;-0,037902822648                    ;-1,30680008426
12,4                      ;-0,0425651050676        ;3,87551845408           ;0,0189699504966                    ;-1,4572865699
12,533                    ;-0,00452865558568       ;3,67983788515           ;0,0953146256928                    ;-1,49919845898
12,667                    ;0,00904772277931        ;3,47940276002           ;0,010922251791                     ;-1,54581674688
12,833                    ;-0,0167869287191        ;3,2205383803            ;0,00613525614467                   ;-1,58874083857
12,967                    ;0,00154400583114        ;2,99564318406           ;0,0481981792876                    ;-1,59360847881
13,1                      ;0,0198749403814         ;2,77074798782           ;-0,0423101718656                   ;-1,44167745066
13,267                    ;-0,0202233796728        ;2,58526382145           ;-0,0722598444055                   ;-1,41283793855
13,4                      ;-0,0263525162395        ;2,35561406903           ;0,0376196455551                    ;-1,44808555806
13,533                    ;0,00692937705722        ;2,18439357121           ;0,0483663101517                    ;-1,39861300338
13,667                    ;-0,00870887187997       ;2,00366396102           ;0,0214498749977                    ;-1,46335735126
13,833                    ;0,0191311750408         ;1,72984862255           ;-0,0395430195298                   ;-1,42685855471
13,967                    ;-0,0209671450134        ;1,54436445617           ;-0,0817270628346                   ;-1,25697902226
14,267                    ;-0,0325381279561        ;1,2121198631            ;-0,0655887738838                   ;-1,17125548528
