"VideoAnalysis 3: Time (s)" ;"VideoAnalysis 3: X (cm)" ;"VideoAnalysis 3: Y (cm)" ;"VideoAnalysis 3: X Velocity (cm/s)" ;"VideoAnalysis 3: Y Velocity (cm/s)"
0                           ;32,6950455789             ;20,0935562339             ;-0,0734796715904                     ;-0,297754974588
0,6                         ;32,649010122              ;19,9094144062             ;-0,0669547029842                     ;-0,292541557438
1,3                         ;32,6029746651             ;19,7252725785             ;-0,0569077076638                     ;-0,306072680709
2                           ;32,5569392082             ;19,495095294              ;-0,0332884256243                     ;-0,332884256336
2,7                         ;32,5569392082             ;19,2649180094             ;-0,00903415190076                    ;-0,371060416086
3,3                         ;32,5569392082             ;18,9887052679             ;-0,00748544015041                    ;-0,38222875309
4,2                         ;32,5569392082             ;18,7124925264             ;-0,0211975076985                     ;-0,417641371729
4,7                         ;32,5569392082             ;18,4362797849             ;-0,0796320404053                     ;-0,503367496052
5,4                         ;32,4188328374             ;18,0679961296             ;-0,0980384731019                     ;-0,55413049985
5,7                         ;32,4648682943             ;17,883854302              ;-0,143860802847                      ;-0,642578252715
6                           ;32,3727973805             ;17,6536770174             ;-0,359216065247                      ;-0,661469065222
6,3                         ;32,2346910098             ;17,5155706467             ;-0,524292703704                      ;-0,771520157509
6,6                         ;32,0045137252             ;17,1933224483             ;-0,524292703714                      ;-0,881594044201
6,9                         ;31,8664073545             ;16,9631451637             ;-0,354702785197                      ;-0,943685836968
7,2                         ;31,8664073545             ;16,6408969653             ;-0,372468696898                      ;-1,05611266976
7,4                         ;31,6822655268             ;16,4567551376             ;-0,417188966314                      ;-1,26227530931
7,7                         ;31,6362300699             ;15,9964005685             ;-0,410492823775                      ;-1,45170007755
7,9                         ;31,4981236991             ;15,720187827              ;-0,466861483718                      ;-1,61983306611
8,033                       ;31,4520882422             ;15,4439750855             ;-0,360074430048                      ;-1,73567660024
8,167                       ;31,4060527853             ;15,167762344              ;-0,294946619775                      ;-1,25298932749
8,4                         ;31,3600173284             ;14,9836205164             ;-0,298347026026                      ;-1,0244254485
8,767                       ;31,2219109577             ;14,661372318              ;-0,283422496076                      ;-1,12858196062
9,033                       ;31,1298400438             ;14,2470532058             ;-0,142087403726                      ;-1,20729706465
9,333                       ;31,1758755007             ;13,9708404643             ;-0,0739252312155                     ;-1,30840897884
9,533                       ;31,1298400438             ;13,602556809              ;-0,135121478173                      ;-1,58075101571
20,933                      ;30,7982437579             ;10,0033345985             ;0,0347279259241                      ;0,540520669822
21,433                      ;30,7982437579             ;10,2952084175             ;0,128957864065                       ;0,626032247443
21,8                        ;30,9441806674             ;10,5870822365             ;0,271147340128                       ;0,719371530077
