"VideoAnalysis: Time (s)";"VideoAnalysis: X (cm)";"VideoAnalysis: Y (cm)";"VideoAnalysis: X Velocity (cm/s)";"VideoAnalysis: Y Velocity (cm/s)";"VideoAnalysis 2: Time (s)";"VideoAnalysis 2: X (cm)";"VideoAnalysis 2: Y (cm)";"VideoAnalysis 2: X Velocity (cm/s)";"VideoAnalysis 2: Y Velocity (cm/s)";"VideoAnalysis 3: Time (s)";"VideoAnalysis 3: X (cm)";"VideoAnalysis 3: Y (cm)";"VideoAnalysis 3: X Velocity (cm/s)";"VideoAnalysis 3: Y Velocity (cm/s)";"VideoAnalysis 4: Time (s)";"VideoAnalysis 4: X (cm)";"VideoAnalysis 4: Y (cm)";"VideoAnalysis 4: X Velocity (cm/s)";"VideoAnalysis 4: Y Velocity (cm/s)"
0;30,3712984571;4,18198193293;-0,188925939859;0,68989069126;0;32,8435137909;21,6794123692;-0,0964084751065;-0,197101771431;0;32,6950455789;20,0935562339;-0,0734796715904;-0,297754974588;0;29,7411651016;4,5598528672;0,018802550787;0,58902755466
0,133;30,3245619581;4,32219143001;-0,0291665539906;0,29441713463;0,9;32,7509616548;21,4943080969;-0,0808662468284;-0,179663805129;0,6;32,649010122;19,9094144062;-0,0669547029842;-0,292541557438;0,333;29,7411651016;4,83766681118;0,0406943606684;0,365576029203
0,733;30,3712984571;4,46240092709;-0,0372819435924;0,161054335504;1,8;32,6584095187;21,3092038246;-0,0477562519791;-0,142515661682;1,3;32,6029746651;19,7252725785;-0,0569077076638;-0,306072680709;1,533;29,7874674256;5,06917843116;0,0583161618857;0,355222688144
1,767;30,23108896;4,55587392515;-0,0186976315441;0,133683988088;3,6;32,6121334506;21,1240995523;-0,0278404014793;-0,13087629411;2;32,5569392082;19,495095294;-0,0332884256243;-0,332884256336;1,767;29,8337697496;5,20808540315;0,0912943295345;0,696890045974
2,867;30,3245619581;4,74281992126;-0,000249250870521;0,12221379377;5,767;32,5658573825;20,8001670759;-0,0228535801315;-0,128105934909;2,7;32,5569392082;19,2649180094;-0,00903415190076;-0,371060416086;1,9;29,8337697496;5,43959702313;0,055436405202;0,549002327948
4,8;30,2778254591;4,88302941834;-0,00624391743863;0,138730453568;9;32,5195813145;20,4299585313;-0,0280823206549;-0,126642205662;3,3;32,5569392082;18,9887052679;-0,00748544015041;-0,38222875309;2,367;29,8800720735;5,57850399512;0,00269168259505;0,398478712006
5,3;30,23108896;5,06997541444;0,0425313538565;0,171366006227;10,433;32,4270291783;20,244854259;-0,0347042015085;-0,142132388058;4,2;32,5569392082;18,7124925264;-0,0211975076985;-0,417641371729;2,833;29,8337697496;5,76371329111;-0,0140007339511;0,372437863645
6,967;30,4180349561;5,30365790958;0,0419520203369;0,16432689134;12,433;32,3807531102;19,9209217825;-0,0318945305192;-0,150797031337;4,7;32,5569392082;18,4362797849;-0,0796320404053;-0,503367496052;3,433;29,8337697496;5,9952249111;0,0253086179516;0,341083185367
8,667;30,4180349561;5,58407690374;0,0231097497934;0,176275204413;13,867;32,3344770422;19,7358175103;-0,0368796540618;-0,164963959361;5,4;32,4188328374;18,0679961296;-0,0980384731019;-0,55413049985;4,4;29,8337697496;6,22673653108;0,101138884854;0,396234237364
9,867;30,4647714552;5,81775939888;0,0103774262857;0,188845910889;16,033;32,241924906;19,3193328976;-0,039728278124;-0,179389368815;5,7;32,4648682943;17,883854302;-0,143860802847;-0,642578252715;4,767;29,9726767215;6,50455047506;0,273671227735;0,566278633457
11,1;30,4180349561;6,05144189401;0,0125914645684;0,203869817024;;;;;;6;32,3727973805;17,6536770174;-0,359216065247;-0,661469065222;5;30,0652813695;6,64345744705;0,334540359486;0,596755939249
12,033;30,4647714552;6,23838789012;0,0462528301785;0,243934391105;;;;;;6,3;32,2346910098;17,5155706467;-0,524292703704;-0,771520157509;5,233;30,1115836935;6,78236441904;0,45248746311;0,619678521658
