"VideoAnalysis: Time (s)" ;"VideoAnalysis: X (cm)" ;"VideoAnalysis: Y (cm)" ;"VideoAnalysis: X Velocity (cm/s)" ;"VideoAnalysis: Y Velocity (cm/s)" ;"VideoAnalysis 2: Time (s)" ;"VideoAnalysis 2: X (cm)" ;"VideoAnalysis 2: Y (cm)" ;"VideoAnalysis 2: X Velocity (cm/s)" ;"VideoAnalysis 2: Y Velocity (cm/s)" ;"VideoAnalysis 3: Time (s)" ;"VideoAnalysis 3: X (cm)" ;"VideoAnalysis 3: Y (cm)" ;"VideoAnalysis 3: X Velocity (cm/s)" ;"VideoAnalysis 3: Y Velocity (cm/s)" ;"VideoAnalysis 4: Time (s)" ;"VideoAnalysis 4: X (cm)" ;"VideoAnalysis 4: Y (cm)" ;"VideoAnalysis 4: X Velocity (cm/s)" ;"VideoAnalysis 4: Y Velocity (cm/s)" ;"VideoAnalysis 5: Time (s)" ;"VideoAnalysis 5: X (cm)" ;"VideoAnalysis 5: Y (cm)" ;"VideoAnalysis 5: X Velocity (cm/s)" ;"VideoAnalysis 5: Y Velocity (cm/s)"
0                         ;30,3712984571           ;4,18198193293           ;-0,188925939959                    ;0,689890691264                     ;0                           ;32,8435137909             ;21,6794123692             ;-0,0964084751447                     ;-0,197101771407                      ;0                           ;32,6950455789             ;20,0935562339             ;-0,0734796716128                     ;-0,297754974528                      ;0                           ;29,7411651016             ;4,5598528672              ;0,0188025507857                      ;0,589027554662                       ;0                           ;32,3903264499             ;20,8232130827             ;-0,00149433393543                    ;-0,209923494981
0,133                     ;30,3245619581           ;4,32219143001           ;-0,0291665539885                   ;0,29441713463                      ;0,9                         ;32,7509616548             ;21,4943080969             ;-0,0808662468549                     ;-0,179663805111                      ;0,6                         ;32,649010122              ;19,9094144062             ;-0,0669547030046                     ;-0,292541557398                      ;0,333                       ;29,7411651016             ;4,83766681118             ;0,0406943606655                      ;0,365576029205                       ;1,667                       ;32,3903264499             ;20,4525943574             ;-0,00420136198809                    ;-0,19899880081
0,733                     ;30,3712984571           ;4,46240092709           ;-0,0372819435833                   ;0,161054335501                     ;1,8                         ;32,6584095187             ;21,3092038246             ;-0,0477562519832                     ;-0,142515661674                      ;1,3                         ;32,6029746651             ;19,7252725785             ;-0,0569077076812                     ;-0,306072680709                      ;1,533                       ;29,7874674256             ;5,06917843116             ;0,0583161618886                      ;0,355222688147                       ;3,667                       ;32,3903264499             ;20,081975632              ;-0,013751642834                      ;-0,192154027984
1,767                     ;30,23108896             ;4,55587392515           ;-0,0186976315518                   ;0,133683988085                     ;3,6                         ;32,6121334506             ;21,1240995523             ;-0,0278404014739                     ;-0,130876294117                      ;2                           ;32,5569392082             ;19,495095294              ;-0,0332884256345                     ;-0,332884256345                      ;1,767                       ;29,8337697496             ;5,20808540315             ;0,0912943295444                      ;0,69689004598                        ;5,167                       ;32,3439991092             ;19,8503389287             ;-0,0246718369324                     ;-0,220051895059
2,867                     ;30,3245619581           ;4,74281992126           ;-0,00024925087985                  ;0,122213793769                     ;5,767                       ;32,5658573825             ;20,8001670759             ;-0,0228535801325                     ;-0,128105934912                      ;2,7                         ;32,5569392082             ;19,2649180094             ;-0,00903415190352                    ;-0,371060416068                      ;1,9                         ;29,8337697496             ;5,43959702313             ;0,0554364052814                      ;0,549002327951                       ;6,367                       ;32,3439991092             ;19,4797202034             ;-0,0487827688283                     ;-0,248859458683
4,8                       ;30,2778254591           ;4,88302941834           ;-0,00624391742809                  ;0,13873045357                      ;9                           ;32,5195813145             ;20,4299585313             ;-0,0280823206536                     ;-0,126642205656                      ;3,3                         ;32,5569392082             ;18,9887052679             ;-0,00748544014863                    ;-0,382228753071                      ;2,367                       ;29,8800720735             ;5,57850399512             ;0,00269168259486                     ;0,398478712003                       ;8,2                         ;32,1586897466             ;19,0627741374             ;-0,0507363188916                     ;-0,267252822814
5,3                       ;30,23108896             ;5,06997541444           ;0,0425313538769                    ;0,171366006228                     ;10,433                      ;32,4270291783             ;20,244854259              ;-0,0347042014965                     ;-0,142132388053                      ;4,2                         ;32,5569392082             ;18,7124925264             ;-0,0211975076882                     ;-0,417641371713                      ;2,833                       ;29,8337697496             ;5,76371329111             ;-0,0140007339915                     ;0,372437863639                       ;9,033                       ;32,1586897466             ;18,7848100934             ;-0,00965152930548                    ;-0,307883784845
6,967                     ;30,4180349561           ;5,30365790958           ;0,0419520203397                    ;0,164326891339                     ;12,433                      ;32,3807531102             ;19,9209217825             ;-0,0318945305207                     ;-0,150797031344                      ;4,7                         ;32,5569392082             ;18,4362797849             ;-0,079632040369                      ;-0,503367496055                      ;3,433                       ;29,8337697496             ;5,9952249111              ;0,0253086179552                      ;0,341083185365                       ;9,7                         ;32,2050170872             ;18,5995007307             ;-0,0298641287568                     ;-0,37243030083
8,667                     ;30,4180349561           ;5,58407690374           ;0,0231097497815                    ;0,176275204412                     ;13,867                      ;32,3344770422             ;19,7358175103             ;-0,0368796540596                     ;-0,16496395936                       ;5,4                         ;32,4188328374             ;18,0679961296             ;-0,0980384730577                     ;-0,554130499892                      ;4,4                         ;29,8337697496             ;6,22673653108             ;0,1011388849                         ;0,396234237364                       ;10,367                      ;32,1586897466             ;18,275209346              ;-0,0948234055063                     ;-0,422436137853
9,867                     ;30,4647714552           ;5,81775939888           ;0,0103774262806                    ;0,188845910889                     ;16,033                      ;32,241924906              ;19,3193328976             ;-0,03972827811                       ;-0,179389368798                      ;5,7                         ;32,4648682943             ;17,883854302              ;-0,143860802856                      ;-0,642578252759                      ;4,767                       ;29,9726767215             ;6,50455047506             ;0,273671227824                       ;0,566278633458                       ;11,567                      ;31,9733803839             ;17,8119359394             ;-0,103514903916                      ;-0,47109498481
