# tid[s];volumen[L]; usikkerhed volumen[L]
0.000000000000000000e+00;8.922310631062304598e-01;2.240985371538354448e-02
1.799999999999998934e+00;8.487475851368632140e-01;2.167570158040126732e-02
3.700000000000001066e+00;8.104641247963737527e-01;2.101890041360287772e-02
4.833000000000000185e+00;7.733495328736376129e-01;2.037220388049908182e-02
6.200000000000001066e+00;7.268182199872175175e-01;1.954660481383029697e-02
7.732999999999998764e+00;6.923232524029102608e-01;1.892314893703781267e-02
9.633000000000000895e+00;6.330149786783610955e-01;1.782639203515483731e-02
1.140000000000000036e+01;5.832277330360828849e-01;1.687898161362855545e-02
1.366599999999999859e+01;5.275821280642094546e-01;1.578752964422601435e-02
1.573299999999999876e+01;4.729562263507465780e-01;1.467804090406018939e-02
1.689999999999999858e+01;4.320755766810833731e-01;1.381955125600508628e-02
1.850000000000000000e+01;3.866751485062116522e-01;1.283369270478235472e-02
1.980000000000000426e+01;3.445719077984982226e-01;1.188431187989488595e-02
2.103300000000000125e+01;3.196230370719884140e-01;1.130349755585748073e-02
2.210000000000000142e+01;2.882725248223396708e-01;1.055171283580914367e-02
2.310000000000000142e+01;2.520571158568498671e-01;9.648358615751174983e-03
2.430000000000000426e+01;2.190094308573477810e-01;8.785422929029274713e-03
2.513300000000000267e+01;1.947546202915111102e-01;8.124175723653721121e-03
2.580000000000000426e+01;1.750602509582867283e-01;7.566804148962447303e-03
2.666600000000000392e+01;1.468700507801045385e-01;6.730948879565116540e-03
2.736599999999999966e+01;1.240257713979596027e-01;6.013519912872491296e-03
2.786599999999999966e+01;1.046423421998553122e-01;5.369400060983712739e-03
2.839999999999999858e+01;7.833029909280565806e-02;4.426637770932546727e-03
2.889999999999999858e+01;5.494420541346032444e-02;3.494636915384377856e-03
2.916600000000000392e+01;4.227715745207060588e-02;2.934436043341268844e-03
2.943299999999999983e+01;3.001718980766232905e-02;2.335433379309397300e-03
